Zeit,Teilnehmer,What is your experience?,What is your gender?,Do you feel represented in the community?,"How do you feel, how could the community improve?",Where are you from?,How old are you?,What is your / your families income?,Do you have a special brain?,Why did you start using Linux?,What do you use your PC for?,Do you contribute to the linux ecosystem?,Do you use multiple Linux systems?,Do you use other Operating Systems?,Why do you use other Operating Systems?,Multiple Linux Systems just for testing or daily driving?,What are the most important benefits of Linux Distributions?,Does your hardware meet Windows 11 requirements?,Do you use disk encryption?,Why do you use disk encryption?,Where does the distro you use originate from?,What origin was your FIRST distro from?,Why did you switch from NixOS?,Why did you switch from OpenSUSE?,Why did you switch from Arch?,Why did you switch from Fedora?,Why did you switch from Debian?,Why did you switch from Ubuntu?,Do you use a smaller Distribution?,Why do you use that distribution?,Do you modify your install in these areas?,What kind of device do you use?,"Does your device have official Linux support / come from a ""Linux hardware company""?",Does your device support Linux without issues anyways?,Is the Firmware / BIOS / UEFI on your PC open source?,Did you buy your device with opensource Firmware?,What Firmware do you use?,What release model?,Are you having problems with that?,Do you plan to switch to a different release type?,"Desktop, Window manager, Terminal?",Why do you use a Window Manager?,Why do you use a smaller Desktop?,Why do you use GNOME?,Did you switch from KDE?,Why do you use KDE?,Did you switch from GNOME?,Why did you switch from KDE?,Why did you switch from GNOME?,Tiling or Floating?,Do you use virtual Desktops?,Do you use Wayland or X11,Can you switch to Wayland?,Have you considered switching to a Wayland alternative?,Will you switch to Wayland in the next year?,How do you get your apps?,"Do you use an ""immutable"" Distribution?","Why don't you use an ""immutable"" distribution?",Do you use proprietary software?,Why do you use Flatpaks?,What problems with Flatpaks do you face?,Why dont you use Flatpak?,Do you use non-Flatpak proprietary Software?,Do you want more proprietary software as Flatpaks?,How did you like this survey?,Anything to add?
2024-06-14T13:55:23.882Z,Gast,"Beginner,3+ years Linux user,used a few different distros",male,,,USA+Canada,31-40,average,undiagnosed,"Windows annoyed me,because of privacy reasons,it is more secure,I need disk encryption","web browsing,online media comsumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),learning,being anonymous online,storing important information",I donate to projects,no,"yes, Android,yes, Windows","School/Work/Uni requirement,Company policy etc (I need to use this OS),Gaming,Audio creation",daily driving,"Free as in freedom (no restriction of use),Privacy,Security against physical attackers,Security against bad software / viruses",no,,"privacy reasons,general security","Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,other,no,,"media support (codecs),additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),adding additional repositories","Desktop PC,Laptop,Phone",yes,,yes,yes,Coreboot with custom components,"Semi rolling: versions, updates in between (Fedora)",no,no,"GNOME (default on Ubuntu, Fedora, ...)",,,main desktop of the distro,no,,,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,Wayland,,,,"native packages (deb, rpm) (main repo),Flatpak,Snap",,,"yes, I use whatever works","preinstalled on my Distro,nice store, easy to find",missing software,,I dont know,yes,cool!,
2024-06-14T13:56:28.329Z,Gast,"3+ years Linux user,distrohopped a lot (over 5 times)",male,,,USA+Canada,27-30,below average,probably no,"Friends or Family showed me,Windows annoyed me,because it is free (as in money),it is better for my tasks","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: windows games (Steam, WINE, Proton),software development,learning,storing videos, pictures, ...,playing around with the OS,storing important information,3D modelling,other digital art","not yet,no time,help make it more popular,help people I know","yes, both","yes, Android",the OS works better,daily driving,"Free: no money costs,efficient workflows,modularity of software components",dont know,,,"Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)","Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)",,,,,packages were too old,,no,,"media support (codecs),additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),uninstalling preinstalled native packages,adding additional repositories","Desktop PC,Convertible (with touchpad)",no,"yes, no issues",no,,,"Semi rolling: versions, updates in between (Fedora)",no,no,"GNOME (default on Ubuntu, Fedora, ...)",,,I like it,no,,,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",Yes,Wayland,,,,"native packages (deb, rpm) (main repo),Flatpak,Distrobox / Toolbox","yes, Fedora Atomic / uBlue, Bazzite, Bluefin, coreOS, IOT, ...,yes, NixOS",,"yes, I use whatever works","more stable system,they work well","sandboxing breaks some apps,issues with desktop integration",,no,,,
2024-06-14T13:56:41.744Z,Gast,"know the major terminal tools,3+ years Linux user,used a few different distros,giving tech support to people",male,,,USA+Canada,27-30,below average,probably no,"Found it online,Windows annoyed me,macOS annoyed me,because it is free (as in money),because of privacy reasons","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),learning,storing videos, pictures, ...,being anonymous online",no time,"yes, both","no, just Linux",,other,"Free as in freedom (no restriction of use),Privacy,Security against physical attackers,Security against bad software / viruses",yes,,general security,"Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,other,no,,"media support (codecs),additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),adding additional repositories,privacy optimizations,other quality of life changes","Desktop PC,Laptop,Tablet,Phone",yes,,no idea,,,"Semi rolling: versions, updates in between (Fedora)",no,not sure if something else is better,"GNOME (default on Ubuntu, Fedora, ...)",,,"I like it,it does not take much time to maintain,beginner friendly",no,,,,,Autotiling,Yes,Wayland,,,,"native packages (deb, rpm) (main repo),Flatpak,Appimage","yes, Fedora Atomic / uBlue, Bazzite, Bluefin, coreOS, IOT, ...,yes, SteamOS",,"yes, I need it","preinstalled on my Distro,security through sandboxing,more stable system","missing software,sandboxing breaks some apps,issues with desktop integration",,yes,yes,other,
2024-06-14T13:59:06.837Z,Gast,"know the major terminal tools,3+ years Linux user,programmer (not systems related, like Web or Apps),used many different distros",male,,,USA+Canada,31-40,slightly above average,undiagnosed,job requirement,"web browsing,mail, messaging,gaming: linux games,gaming: windows games (Steam, WINE, Proton),software development",not yet,"yes, both","yes, Android,yes, Windows",Audio creation,daily driving,"Free: no money costs,Free as in freedom (no restriction of use),efficient workflows,modularity of software components",yes,no,,"Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)","Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)",,,,,something else,,no,,"media support (codecs),adding additional repositories,other quality of life changes","Desktop PC,other",no,"yes, no issues",no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,no,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"customization,better legacy app support (tray icons, X11 keystrokes, XWayland, ...)",no,,,"Tiling, manual",Yes,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak,Appimage",no,happy on my current one,"yes, I use whatever works","they work well,officially maintained (verified)",sandboxing breaks some apps,,yes,yes,,
2024-06-14T13:59:13.300Z,Gast,"know the major terminal tools,3+ years Linux user,programmer (not systems related, like Web or Apps),used many different distros,giving tech support to people",non-binary,its okay,,Europe,27-30,slightly above average,"yes, Autism,yes, ADHD","Windows annoyed me,it is better for my tasks","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),science, research, writing papers,audio production,software development,learning,storing videos, pictures, ...,playing around with the OS,storing important information,other digital art",not yet,"yes, multiple Linux Desktops","yes, Android,yes, Windows","Company policy etc (I need to use this OS),Gaming",daily driving,"Free: no money costs,Privacy,customizability, fun,efficient workflows",yes,,,"Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,other,dont know?,,,"Desktop PC,Laptop,Phone",no,only minor issues,no idea,,,"Semi rolling: versions, updates in between (Fedora)",no,not sure if something else is better,Window manager / Compositor,"efficient workflow,I like to tweak my desktop,lightweight,functionality,no bloat,Unixporn",,,,,,,,"Tiling, manual",Yes,X11,,yes,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),native packages without a repo (manually downloaded .deb files etc),Flatpak",no,other,"yes, I use whatever works",preinstalled on my Distro,,,yes,yes,,
2024-06-14T13:59:31.774Z,Gast,"3+ years Linux user,programmer (not systems related, like Web or Apps),used a few different distros",male,,,Asia,16-20,average,"yes, ADHD","it was my first OS,Found it online,Windows annoyed me,because it is free (as in money),because of privacy reasons,I like to tweak my system,my hardware is not powerful enough for others,it is better for my tasks,it is more secure,I need disk encryption","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,science, research, writing papers,audio production,software development,learning,being anonymous online,storing important information,3D modelling","I pay for support,forum support,contributing code,doing packaging,help make it more popular","yes, Linux Servers","yes, Windows","School/Work/Uni requirement,Company policy etc (I need to use this OS),Gaming,the OS works better",daily driving,"Free: no money costs,Free as in freedom (no restriction of use),Privacy,customizability, fun",yes,no,"privacy reasons,general security","Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)","Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)",,,,,,,yes,"Ease of use / better presets,security hardened,privacy hardened",,"Desktop PC,Laptop,Phone",dont know,,no idea,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",dont know,"yes, but dont want to switch",Terminal,,,,,,,,,Autotiling,What?,X11,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),native packages without a repo (manually downloaded .deb files etc),Appimage","yes, other",,"yes, I use whatever works",,,I dont know them,,,"cool!,too long",
2024-06-14T13:59:42.711Z,Gast,"3+ years Linux user,programmer (systems related, Linux utilities, libraries),used many different distros,giving tech support to people,admin: paid",male,,,Europe,51-60,far above average,undiagnosed,"Windows annoyed me,because it is free (as in money),because of privacy reasons,I like to tweak my system,it is better for my tasks,it has better software,it is more secure","web browsing,online media comsumption,offline media consumption,standard office tasks,software development,learning,storing videos, pictures, ...,storing important information,3D modelling","forum support,contributing code,help people I know","yes, both","yes, Android,yes, Windows",Company policy etc (I need to use this OS),daily driving,"Privacy,efficient workflows,low hardware requirements,modularity of software components",yes,,"privacy reasons,general security","Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)",Slackware,,,,,,,yes,security hardened,,"Desktop PC,Laptop,Convertible (with touchpad),Tablet,Phone,other",dont know,,no,,,"Versioned: versions, only security updates in between (SteamOS, Ubuntu)",no,no,"GNOME (default on Ubuntu, Fedora, ...)",,,main desktop of the distro,yes,,,switched distros,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",Yes,X11,"yes, but I wait until my disteo does it",,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Homebrew",no,"happy on my current one,I am an expert in Linux",no,,,"I prefer distro packages,they bloat the system,they are like Snaps",,,other,Nope
2024-06-14T13:59:46.053Z,Gast,"know the major terminal tools,3+ years Linux user,used many different distros,distrohopped a lot (over 5 times)",male,,,Asia,16-20,above average,,"Found it online,Windows annoyed me,because it is free (as in money),because of privacy reasons,I like to tweak my system,it is better for my tasks,it has better software,it is more secure","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),software development,learning,storing videos, pictures, ...,playing around with the OS,being anonymous online,storing important information",I donate to projects,"yes, both","yes, Android",other,,"Free: no money costs,Free as in freedom (no restriction of use),Privacy,customizability, fun",dont know,,,"Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, Tails, EndlessOS, ElementaryOS, ...)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,,,,,"Laptop,Phone",no,only minor issues,no,,,"Versioned: versions, only security updates in between (SteamOS, Ubuntu)",no,not sure if something else is better,"GNOME (default on Ubuntu, Fedora, ...)",,,main desktop of the distro,no,,,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,X11,"yes, but I wait until my disteo does it",,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),native packages without a repo (manually downloaded .deb files etc),Flatpak,.tar archives, .run commands, binaries from the internet",no,"I dont need the stability,I am an expert in Linux,it restricts my freedom",no,"preinstalled on my Distro,nice store, easy to find,officially maintained (verified)","sandboxing breaks some apps,issues with desktop integration,theming",,,,cool!,
2024-06-14T14:01:13.451Z,Gast,"know the major terminal tools,3+ years Linux user,programmer (not systems related, like Web or Apps),used a few different distros,admin: unpaid (local group, school, ...)",other,its okay,,Europe,16-20,rather not say,"what?,yes, Autism","Windows annoyed me,because it is free (as in money),because of privacy reasons,I like to tweak my system,job requirement,it is better for my tasks","web browsing,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),science, research, writing papers,software development","not yet,no time,help people I know","yes, both","yes, Windows","Gaming,development,other recreational / hobby software",,"Free: no money costs,Free as in freedom (no restriction of use),Privacy,low hardware requirements",dont know,no,,"Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,"Snaps are bad,Advertisements,I dont like GNOME",dont know?,,,Desktop PC,no,"yes, no issues",no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,not sure if something else is better,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"traditional UI,needed features (like gaming),app integration",no,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",Yes,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak,Appimage",no,"happy on my current one,other","yes, I use whatever works","more stable system,they work well","missing modularity in hardening,storage space,theming",,yes,yes,other,
2024-06-14T14:02:18.359Z,Gast,"know the major terminal tools,3+ years Linux user,programmer (systems related, Linux utilities, libraries),used many different distros,distrohopped a lot (over 5 times)",male,,,USA+Canada,51-60,slightly above average,"yes, Autism,yes, ADHD","it was my first OS,I like to tweak my system","web browsing,mail, messaging,standard office tasks,software development","forum support,contributing code,help make it more popular",no,"yes, Android,yes, Windows","School/Work/Uni requirement,Company policy etc (I need to use this OS)",,"Free as in freedom (no restriction of use),Security against bad software / viruses,efficient workflows",yes,"yes, with a password",general security,"Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)",other,,,,,,,no,,uninstalling preinstalled native packages,Desktop PC,no,"yes, no issues",no,,,"Stable: versioned, backported security patches, no feature upgrades in between (Debian, RHEL, OpenSUSE Leap)",no,not sure if something else is better,"Smaller Desktop (Cinnamon (Linux Mint), XFCE, LXQt/LXDE, Mate, COSMIC, ...)",,"I find it easy to use,it is lightweight",,,,,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,X11,,,"yes, unsure","native packages (deb, rpm) (main repo),native packages without a repo (manually downloaded .deb files etc),.tar archives, .run commands, binaries from the internet",no,"happy on my current one,I am an expert in Linux,I dont like Flatpaks","yes, I use whatever works",,,"I prefer distro packages,they bloat the system,they are like Snaps",,,cool!,
2024-06-14T14:06:36.809Z,Gast,"know the major terminal tools,3+ years Linux user,programmer (not systems related, like Web or Apps),used many different distros,distrohopped a lot (over 5 times),giving tech support to people,admin: unpaid (local group, school, ...)",male,,,Asia,31-40,above average,"probably no,no",Found it online,"web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),software development,learning,storing videos, pictures, ...,playing around with the OS,being anonymous online,storing important information,other digital art","I donate to projects,help with translations,forum support,help make it more popular,help people I know","yes, both","yes, Android",other,other,"Free as in freedom (no restriction of use),Privacy,efficient workflows,low hardware requirements",yes,,"privacy reasons,general security","Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)",other,,,,,,,yes,Ease of use / better presets,,"Desktop PC,Laptop,other",yes,,no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,no,Window manager / Compositor,"efficient workflow,lightweight,functionality",,,,,,,,Autotiling,Yes,X11,,yes,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),.tar archives, .run commands, binaries from the internet,Homebrew","yes, Android,no","I am an expert in Linux,it restricts my freedom","yes, I use whatever works",,,"I prefer distro packages,they bloat the system",,,"technical issues with the questions,other","While it's okay, you should study about how to create a proper survey. Some questions are not align with proper survey technics and some questions don't have enough answers. Also some questions direct the people who answer. Both questions and answers should cover every opinion without being biased.   "
2024-06-14T14:06:56.145Z,Gast,"3+ years Linux user,programmer (not systems related, like Web or Apps),used many different distros,distrohopped a lot (over 5 times),giving tech support to people,some other job with Linux",male,,,Europe,31-40,slightly above average,"yes, ADHD,undiagnosed","Friends or Family showed me,Windows annoyed me,it is better for my tasks","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: windows games (Steam, WINE, Proton),software development,playing around with the OS,3D modelling","no time,help people I know","yes, both","yes, Android",Company policy etc (I need to use this OS),daily driving,"Free: no money costs,Free as in freedom (no restriction of use),Privacy,low hardware requirements",yes,"yes, with a password","privacy reasons,general security","Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)",OpenSUSE,,I found something better,,,,,yes,Ease of use / better presets,,"Desktop PC,Laptop,Phone",no,"yes, no issues",no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",dont know,no,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)","efficient workflow,I like to tweak my desktop,functionality",,,,"traditional UI,app integration,better legacy app support (tray icons, X11 keystrokes, XWayland, ...)",no,,,Autotiling,Yes,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak,nix","yes, SteamOS",,"yes, I use whatever works","nice store, easy to find,they work well",,,I dont know,,too long,
2024-06-14T14:07:20.521Z,Gast,"3+ years Linux user,used many different distros",rather not say,its okay,,Asia,16-20,rather not say,"yes, Autism,yes, ADHD,yes, other,undiagnosed","Friends or Family showed me,Found it online,Windows annoyed me,macOS annoyed me,ChromeOS annoyed me,because of privacy reasons,I like to tweak my system,I was bored (with the other OS),job requirement,my hardware is not powerful enough for others,switched from a BSD,it has better hardware support,it is better for my tasks,it has better software,it is more secure,I need disk encryption","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),science, research, writing papers,audio production,video production,software development,learning,storing videos, pictures, ...,playing around with the OS,being anonymous online,storing important information",no time,"yes, both","yes, Android,yes, Windows",Gaming,daily driving,"Free as in freedom (no restriction of use),Privacy,low hardware requirements,modularity of software components",yes,what?,,"Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)","Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)",,,,,,,no,,"media support (codecs),additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),uninstalling preinstalled native packages,adding additional repositories,theming,security optimization","Desktop PC,Laptop,Phone",no,"yes, no issues",no idea,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,no,Window manager / Compositor,"efficient workflow,I like to tweak my desktop,lightweight,functionality,no bloat,Unixporn,I have no hobbies",,,,,,,,Autotiling,No,"dont know, too lazy to check",,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),native packages without a repo (manually downloaded .deb files etc),.tar archives, .run commands, binaries from the internet",no,happy on my current one,"yes, I use whatever works",,,"I prefer distro packages,they bloat the system,they are like Snaps",,,"cool!,too long",
2024-06-14T14:09:27.401Z,Gast,"know the major terminal tools,3+ years Linux user,programmer (not systems related, like Web or Apps),used a few different distros,giving tech support to people",male,,,Europe,27-30,slightly above average,probably no,"Windows annoyed me,because of privacy reasons,it is better for my tasks","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),software development,learning,storing videos, pictures, ...,playing around with the OS,being anonymous online,storing important information",not yet,"yes, both","yes, macOS,yes, Windows",Company policy etc (I need to use this OS),daily driving,"Free as in freedom (no restriction of use),Privacy,Security against bad software / viruses,efficient workflows",yes,"yes, with a password","privacy reasons,general security",OpenSUSE,"Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)",,,,,"packages were too old,something else",,no,,"media support (codecs),adding additional repositories","Desktop PC,Laptop,Tablet,Phone",no,only minor issues,no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,not sure if something else is better,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"customization,needed features (like gaming),better legacy app support (tray icons, X11 keystrokes, XWayland, ...)",no,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,Wayland,,,,"native packages (deb, rpm) (main repo),Flatpak,Appimage,.tar archives, .run commands, binaries from the internet",no,I tried it and it had issues,"yes, I use whatever works","nice store, easy to find,security through sandboxing,they work well","missing software,sandboxing breaks some apps,other",,yes,yes,cool!,
2024-06-14T14:09:29.394Z,Gast,"know the major terminal tools,3+ years Linux user,programmer (not systems related, like Web or Apps),used a few different distros,distrohopped a lot (over 5 times),giving tech support to people",male,,,Europe,31-40,rather not say,no,"Windows annoyed me,because it is free (as in money),because of privacy reasons,I like to tweak my system,my hardware is not powerful enough for others,it is more secure","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,science, research, writing papers,software development,learning,playing around with the OS,storing important information","not yet,help make it more popular,help people I know","yes, multiple Linux Desktops","yes, Android",other,daily driving,"Free as in freedom (no restriction of use),Privacy,Security against bad software / viruses,low hardware requirements",dont know,no,,"Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,"Snaps are bad,Advertisements,privacy concerns",yes,Ease of use / better presets,,Laptop,no,"yes, no issues",no,no,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,not sure if something else is better,"Smaller Desktop (Cinnamon (Linux Mint), XFCE, LXQt/LXDE, Mate, COSMIC, ...)",,"I didnt like the direction of GNOME or KDE,I find it easy to use,it is lightweight",,,,,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",Yes,X11,,,"yes, switching to another Desktop","native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak,.tar archives, .run commands, binaries from the internet",no,other,"yes, I use whatever works","security through sandboxing,more stable system,officially maintained (verified)","sandboxing breaks some apps,storage space,issues with desktop integration",,yes,yes,cool!,
2024-06-14T14:13:39.962Z,Gast,"know the major terminal tools,3+ years Linux user,programmer (systems related, Linux utilities, libraries),used many different distros,distrohopped a lot (over 5 times),some other job with Linux",male,,,Europe,21-26,above average,no,"Found it online,Windows annoyed me,I was bored (with the other OS),it has better software","web browsing,online media comsumption,mail, messaging,gaming: linux games,gaming: windows games (Steam, WINE, Proton),science, research, writing papers,software development,learning,storing videos, pictures, ...,playing around with the OS,storing important information","I donate to projects,help with translations,forum support,contributing code,doing packaging","yes, both","yes, macOS",the OS works better,daily driving,"Free as in freedom (no restriction of use),customizability, fun",yes,"yes, with a password","privacy reasons,general security","Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)","Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)",,,,,packages were too old,,no,,"media support (codecs),adding additional repositories,theming,security optimization","Desktop PC,Laptop,Tablet,Phone",no,"yes, no issues",no,,,"Semi rolling: versions, updates in between (Fedora)",no,no,"GNOME (default on Ubuntu, Fedora, ...)",,,"I like it,good app integration,performance",yes,,,"prefer the GNOME workflow,prefer the GNOME design",,Autotiling,Yes,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak",no,"happy on my current one,I am an expert in Linux","yes, I use whatever works","nice store, easy to find,they work well,officially maintained (verified)",storage space,,yes,yes,cool!,
2024-06-14T14:14:02.901Z,Gast,"know the major terminal tools,3+ years Linux user,programmer (not systems related, like Web or Apps),distrohopped a lot (over 5 times)",male,,,Europe,16-20,below average,probably no,"Found it online,Windows annoyed me,because it is free (as in money),because of privacy reasons,I like to tweak my system,I was bored (with the other OS),it is better for my tasks","web browsing,online media comsumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),science, research, writing papers,software development,learning,playing around with the OS,being anonymous online","not yet,help people I know","yes, both","yes, Windows","Gaming,other recreational / hobby software",mainly for testing,"Free as in freedom (no restriction of use),Privacy,customizability, fun,efficient workflows",yes,no,,"Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,other,no,,"additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),adding additional repositories,other quality of life changes","Desktop PC,Laptop,other",no,only minor issues,no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,not sure if something else is better,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"customization,performance,beginner friendly",no,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",Yes,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak",no,"happy on my current one,it restricts my freedom,I tried it and it was not for me","yes, I need it","nice store, easy to find,more stable system,they work well","sandboxing breaks some apps,issues with desktop integration",,no,yes,cool!,
2024-06-14T14:17:42.293Z,Gast,"know the major terminal tools,used many different distros,distrohopped a lot (over 5 times)",male,,,USA+Canada,16-20,slightly above average,undiagnosed,"Found it online,Windows annoyed me,because of privacy reasons,I was bored (with the other OS),it is more secure","web browsing,online media comsumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),learning,being anonymous online,storing important information","forum support,help make it more popular,help people I know","yes, both","yes, Android","School/Work/Uni requirement,Gaming",daily driving,"Privacy,Security against physical attackers,Security against bad software / viruses,modularity of software components",yes,no,,NixOS,"Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,privacy concerns,no,,"media support (codecs),additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),other quality of life changes","Desktop PC,Laptop",no,"yes, no issues",no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,no,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"customization,needed features (like gaming),app integration",no,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,Wayland,,,,nix,"yes, NixOS",,"yes, I need it",,,"I prefer distro packages,they are broken,they bloat the system",,,cool!,nixos btw
